Path,Fold,Family,Instrument (abbr.),Instrument (in full),Technique (abbr.),Technique (in full),Pitch,Pitch ID,Dynamics,Dynamics ID,Instance ID,String ID (if applicable),Needed digital retuning
Brass/Bass_Tuba/ordinario/BTb-ord-F#1-pp-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,F#1,30,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-G1-pp-N-R100u.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,G1,31,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-G#1-pp-N-T16u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,G#1,32,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-A1-pp-N-T23d.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,A1,33,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-A#1-pp-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A#1,34,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-B1-pp-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,B1,35,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-C2-pp-N-T13d.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,C2,36,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-C#2-pp-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,C#2,37,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-D2-pp-N-T18u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,D2,38,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-D#2-pp-N-T11u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,D#2,39,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-E2-pp-N-T25u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,E2,40,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-F2-pp-N-T25u_R100u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,F2,41,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-F#2-pp-N-T14u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,F#2,42,pp,0,0,,TRUE
